"id","name","city","country_code","state_province","latitude","longitude","ports","power_kw","power_class","is_fast_dc"
104472,Cristal Resort By Zdrojowa,Szklarska Poreba,PL,"",50.823268,15.540258,1,22,AC_HIGH_(22-49kW),false
104387,Blue Mountain Resort,Szklarska Poreba,PL,"",50.825401,15.539113,2,22,AC_HIGH_(22-49kW),false
103660,Chocholowskie Termy,Chocholow,PL,"",49.35179,19.820924,1,22,AC_HIGH_(22-49kW),false
103651,Hotel Spa DR Irena Eris Polanica Zdroj,Polanica-Zdroj,PL,"",50.411427,16.503206,2,22,AC_HIGH_(22-49kW),false
103585,Hotel Spa DR Irena Eris Wzgorza Dylewskie,Ostroda,PL,"",53.544148,19.942262,2,22,AC_HIGH_(22-49kW),false
103557,Hotel & Spa Czarny Gron,Rzyki,PL,"",49.79368,19.388101,1,22,AC_HIGH_(22-49kW),false
103527,Hotel Spa DR Irena Eris Krynica Zdroj,Krynica-Zdroj,PL,"",49.421528,20.926765,2,11,AC_L2_(7.5-21kW),false
101113,Vienna House Andel's Cracow,Krakow,PL,"",50.065629,19.945439,2,22,AC_HIGH_(22-49kW),false
100782,Heron Live Hotel,Grodek nad Dunajcem,PL,"",49.720312,20.699074,1,22,AC_HIGH_(22-49kW),false
100591,Ciechocinek Supercharger,Ciechocinek,PL,"",52.875155,18.774871,4,150,DC_ULTRA_(>=150kW),true
99858,Hotel Desilva Premium Opole,Opole,PL,"",50.663824,17.923646,2,22,AC_HIGH_(22-49kW),false
99652,Parking 24h Centrum,Szczecin,PL,"",53.433199,14.557713,1,14,AC_L2_(7.5-21kW),false
99627,Hilton Gdansk Hotel,Gdansk,PL,"",54.353566,18.658353,1,22,AC_HIGH_(22-49kW),false
98108,Gosciniec Inn,Uniejów,PL,"",51.949971,18.806795,2,14,AC_L2_(7.5-21kW),false
97976,Radisson Blu Resort,Swinoujscie,PL,"",53.920316,14.259259,2,22,AC_HIGH_(22-49kW),false
97806,Hotel Prezydent Medical Spa & Wellness,Krynica-Zdroj,PL,"",49.419853,20.95969,1,22,AC_HIGH_(22-49kW),false
97621,Palac Wiechlice,Szprotawa,PL,"",51.568061,15.592819,1,22,AC_HIGH_(22-49kW),false
97530,Hotel Mercure Opole,Opole,PL,"",50.66349,17.926058,2,22,AC_HIGH_(22-49kW),false
97521,Art Hotel,Wroclaw,PL,"",51.112253,17.029982,1,22,AC_HIGH_(22-49kW),false
97485,Radisson Blu Centrum Hotel Warsaw,Warsaw,PL,"",52.236653,20.99871,1,22,AC_HIGH_(22-49kW),false
96815,Greenway Gdańsk Galeria Przymorze,Gdańsk,PL,pomorskie,54.409512,18.593671,2,50,DC_FAST_(50-149kW),true
96814,Gdańsk Park Handlowy Matarnia,Gdańsk,PL,pomorskie,54.372712,18.51944,2,50,DC_FAST_(50-149kW),true
96449,Stacja Ładowania Focus Mall,Bydgoszcz,PL,Kujawsko-Pomorskie,53.125864,18.018377,1,50,DC_FAST_(50-149kW),true
95923,Induce One Headquarters,Białystok,PL,Białystok,53.117196,23.087015,1,22,AC_HIGH_(22-49kW),false
93803,The Westin Warsaw Hotel Parking,Warsaw,PL,Warszawa,52.235231,20.996238,2,20,AC_L2_(7.5-21kW),false
92312,Hotel Mazurek,"",PL,"",52.197275,18.642222,2,22,AC_HIGH_(22-49kW),false
92298,Sheraton Grand Krakow,"",PL,"",50.056425,19.930354,1,11,AC_L2_(7.5-21kW),false
91992,Zimowy Domek - Boutique Rooms,Swieradow Zdroj,PL,Dolnośląskie,50.911891,15.346003,3,11,AC_L2_(7.5-21kW),false
91214,Modry Las Golf Resort,Choszczno,PL,"",53.135152,15.475381,2,11,AC_L2_(7.5-21kW),false
90168,Wyższa Szkoła Techniczna Katowice,Katovice,PL,Katovice,50.231394,18.986206,1,,UNKNOWN,false
89964,Galeria Kazimierz,Krakow,PL,"",50.054328,19.953931,2,,UNKNOWN,false
89863,Stacja Orlen w Kartuzach,gmina Kartuzy,PL,pomorskie,54.330112,18.205775,1,3,AC_L1_(<7.5kW),false
88989,Centrum Opoka,Stary Sącz,PL,"",49.559264,20.647363,1,22,AC_HIGH_(22-49kW),false
88298,EV Plus,Poznań,PL,Wielkopolska,52.35138,17.002803,1,22,AC_HIGH_(22-49kW),false
88297,Hotel HP Park Poznań,Poznań,PL,Wielkopolska,52.400022,16.971969,2,22,AC_HIGH_(22-49kW),false
87966,Biedronka Nowowiejska,Wrocław,PL,"",51.123223,17.051446,3,22,AC_HIGH_(22-49kW),false
87870,Gdańsk Nissan Zdunek KMJ,Gdańsk,PL,pomorskie,54.39289,18.583542,1,44,AC_HIGH_(22-49kW),false
87183,Sheraton Poznan Hotel,Poznan,PL,"",52.406739,16.910677,1,22,AC_HIGH_(22-49kW),false
86153,Hala Targowa Tęcza,Wrocław,PL,Dolnośląskie,51.130168,16.965192,3,2,AC_L1_(<7.5kW),false
86039,Gorzów Wielkopolski ul. Bora-Komorowskiego,Gorzów Wielkopolski,PL,"",52.763022,15.271122,1,22,AC_HIGH_(22-49kW),false
85744,Holiday Inn Warszawa Jozefow,Jozefow,PL,"",52.12312,21.234339,2,22,AC_HIGH_(22-49kW),false
85708,Olandia Prusim,Prusim,PL,gmina Kwilcz,52.577026,16.004806,1,11,AC_L2_(7.5-21kW),false
85474,Park Hotel,Szczecin,PL,"",53.431827,14.559712,2,22,AC_HIGH_(22-49kW),false
98054,Marine Hotel & Ultra Marine,Kolobrzeg,PL,Zachodniopomorskie,54.189518,15.604182,2,11,AC_L2_(7.5-21kW),false
97739,Diune Hotel & Resort,Kolobrzeg,PL,Zachodniopomorskie,54.188352,15.598879,2,11,AC_L2_(7.5-21kW),false
97536,Sand Hotel,Kolobrzeg,PL,Zachodniopomorskie,54.183342,15.568349,2,17,AC_L2_(7.5-21kW),false
84697,Gdańsk Auchan przy Szczęśliwej,Gdańsk,PL,pomorskie,54.350661,18.524471,2,22,AC_HIGH_(22-49kW),false
82444,Prywatne gniazdko w Gdańsku na Konwalii,Gdańsk,PL,pomorskie,54.391425,18.632169,1,3,AC_L1_(<7.5kW),false
79382,Parking przy biurowcu Kosmos w Szczecinie,Szczecin,PL,zachodniopomorskie,53.426748,14.544917,4,22,AC_HIGH_(22-49kW),false
79379,Leroy Merlin Szczecin,Szczecin,PL,zachodniopomorskie,53.456603,14.571136,4,22,AC_HIGH_(22-49kW),false
79256,Stacja Lotos w Karlinie,Karlino,PL,zachodniopomorskie,54.044466,15.886448,1,3,AC_L1_(<7.5kW),false
79255,Bistro Jajo Białogard,Białogard,PL,zachodniopomorskie,54.009239,15.970775,3,11,AC_L2_(7.5-21kW),false
77782,Hotel Senator w Dźwirzynie,Dźwirzyno,PL,powiat kołobrzeski,54.163237,15.439653,10,22,AC_HIGH_(22-49kW),false
75158,Hotel Gołębiewski w Wiśle,Wisła,PL,"",49.660767,18.858933,1,3,AC_L1_(<7.5kW),false
75127,ElecTech - Electronic Technology,Zielona Góra,PL,"",51.928626,15.497817,1,22,AC_HIGH_(22-49kW),false
75126,VW Autohaus,Poznaň,PL,"",52.360235,16.849507,1,,UNKNOWN,false
75125,CMP Holding,Wrocław,PL,"",51.064421,16.999851,1,22,AC_HIGH_(22-49kW),false
75124,Centrum Handlowe MARINO,Wrocław,PL,"",51.151318,17.027408,1,22,AC_HIGH_(22-49kW),false
75123,Hotel Scandic,Wrocław,PL,"",51.10151,17.028156,1,22,AC_HIGH_(22-49kW),false
75122,Salon Samochodowy SEAT,Wrocław,PL,"",51.11709,17.02091,1,22,AC_HIGH_(22-49kW),false
75120,Hotel Tumski,Wrocław,PL,Dolnoslezské vojvodství,51.11636,17.04072,1,22,AC_HIGH_(22-49kW),false
75119,GOVECS,Wrocław,PL,Wrocław,51.104915,16.929485,1,22,AC_HIGH_(22-49kW),false
75118,Centrum Handlowe Korona,Vratislav,PL,Wrocław,51.142243,17.090604,1,22,AC_HIGH_(22-49kW),false
75117,Wroclawski Park Technologiczny,Wrocław,PL,Wrocław,51.106718,16.971714,1,22,AC_HIGH_(22-49kW),false
75116,Centrum Logistyczne Parku Naukowo-Technologicznego,Zielona Góra,PL,Zielona Góra,51.925839,15.616948,5,150,DC_ULTRA_(>=150kW),true
75103,Promenady ZITA,Wrocław,PL,Wrocław,51.128963,17.044878,1,22,AC_HIGH_(22-49kW),false
75083,Sky Tower - Wroclaw,Wrocław,PL,"",51.094527,17.020589,1,11,AC_L2_(7.5-21kW),false
75077,Salon IKEA Galactico,Bielany Wrocławskie,PL,powiat wrocławski,51.047111,16.955648,1,22,AC_HIGH_(22-49kW),false
75076,Tarasy Zamkowe,Lublin,PL,Lublin,51.2505,22.57559,1,,UNKNOWN,false
75074,Akademia Górniczo - Hutnicza,Krakov,PL,Kraków,50.065608,19.917154,1,11,AC_L2_(7.5-21kW),false
75073,Korporacyjne Centrum Badawcze ABB,Krakov,PL,Kraków,50.058212,19.94338,1,50,DC_FAST_(50-149kW),true
75072,Centrum Podkarpacki Park Naukowo-Technologiczny AEROPOLIS,Jasionka,PL,gmina Trzebownisko,50.116343,22.017477,1,22,AC_HIGH_(22-49kW),false
74977,IKEA Bydgoszcz,Bydgoszcz,PL,kujawsko-pomorskie,53.132003,18.12033,4,11,AC_L2_(7.5-21kW),false
74318,Fideltronik Kraków,Krakov,PL,Kraków,50.064115,19.968898,1,22,AC_HIGH_(22-49kW),false
74317,Fideltronik,Sucha Beskidzka,PL,Sucha Beskidzka,49.743734,19.596012,1,22,AC_HIGH_(22-49kW),false
73329,Stacja BP w Elblągu,"82-300 Elbląg",PL,warmińsko-mazurskie,54.173002,19.405549,4,3,AC_L1_(<7.5kW),false
73328,Hotel Krasicki w Lidzbarku Warmińskim,Lidzbark Warmiński,PL,warmińsko-mazurskie,54.124817,20.583604,4,22,AC_HIGH_(22-49kW),false
73324,Smażalnia Okoń niedaleko Elbląga,Rzeczna,PL,gmina Pasłęk,54.086209,19.607981,4,3,AC_L1_(<7.5kW),false
73146,Salon Volkswagen,Gdańsk,PL,pomorskie,54.330976,18.535212,2,3,AC_L1_(<7.5kW),false
72593,Parking lotniskowy w Gdańsku,Gdańsk,PL,pomorskie,54.379306,18.483412,3,11,AC_L2_(7.5-21kW),false
72538,LIDL Poznań,Poznaň,PL,Poznań,52.416166,16.89048,1,50,DC_FAST_(50-149kW),true
71800,Informacja turystyczna w Kuźnicy,Kuźnica,PL,pomorskie,54.731594,18.587882,10,3,AC_L1_(<7.5kW),false
71731,Hotel Ambasada Restaurant Piwnica Paryska,Boleslawiec,PL,Dolnoslaskie,51.259229,15.564534,2,3,AC_L1_(<7.5kW),false
71102,Kemping Małe Morze,gmina Władysławowo,PL,pomorskie,54.782287,18.442854,10,3,AC_L1_(<7.5kW),false
66050,Stacja Lotos w Kikole,Kikół,PL,gmina Kikół,52.903244,19.121867,1,3,AC_L1_(<7.5kW),false
66049,Stacja Orlen w Głodowie,Głodowo,PL,gmina Lipno,52.828661,19.238481,1,3,AC_L1_(<7.5kW),false
66030,Stacja paliw w Kamieniu Kotowym,Kamień Kotowy,PL,gmina Tłuchowo,52.735984,19.432802,1,22,AC_HIGH_(22-49kW),false
